GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
FUN0_000044	scaffold_1:116543-116873	+	109	hypothetical protein		ENOG503Q6I9											
FUN0_000045	scaffold_1:117216-117584	+	104	hypothetical protein		ENOG503Q6I9											
FUN0_000046	scaffold_1:117662-117953	+	96	hypothetical protein		ENOG503Q6I9											
FUN0_000047	scaffold_1:118817-120191	+	457	hypothetical protein		ENOG50											
FUN0_000048	scaffold_1:120808-124447	-	1156	hypothetical protein		ENOG503Q6I9									GO:0005515 protein binding		
FUN0_000048	scaffold_1:120808-124148	-	961	hypothetical protein		ENOG503Q6I9									GO:0005515 protein binding		
FUN0_000049	scaffold_1:128841-130119	+	362	hypothetical protein		ENOG503P22P											
FUN0_000050	scaffold_1:135159-135876	+	238	hypothetical protein		ENOG502GJN3									GO:0015935 small ribosomal subunit; GO:0005515 protein binding; GO:0043022 ribosome binding		
FUN0_000051	scaffold_1:138096-139266	+	389	hypothetical protein		ENOG50											
FUN0_000052	scaffold_1:141354-141741	+	128	hypothetical protein													
FUN0_000053	scaffold_1:142876-144292	+	471	hypothetical protein		ENOG50											
FUN0_000054	scaffold_1:145771-146385	+	184	hypothetical protein													
FUN0_000055	scaffold_1:147354-148776	+	473	hypothetical protein		ENOG50											
FUN0_000056	scaffold_1:149444-151688	-	747	hypothetical protein		ENOG503Q6I9											
FUN0_000057	scaffold_1:152555-154102	-	417	hypothetical protein		ENOG503Q4J3									GO:0005515 protein binding		
FUN0_000058	scaffold_1:154510-155369	+	231	hypothetical protein		ENOG503PATZ											
FUN0_000059	scaffold_1:155686-155907	+	55	hypothetical protein		ENOG503PATZ									GO:0008168 methyltransferase activity		
FUN0_000060	scaffold_1:155929-156377	+	95	hypothetical protein		ENOG503PATZ											
FUN0_000061	scaffold_1:157315-158749	-	477	hypothetical protein		ENOG503Q6I9											
FUN0_000062	scaffold_1:160326-165334	-	1539	hypothetical protein		ENOG503Q3UV									GO:0005515 protein binding		
FUN0_13023	scaffold_1:166127-167989	+	560	hypothetical protein		ENOG503Q5P5									GO:0005515 protein binding		
FUN0_000063	scaffold_1:169055-169379	-	107	hypothetical protein		ENOG503Q3UV									GO:0005515 protein binding		
FUN0_000064	scaffold_1:170419-171176	-	199	hypothetical protein													
FUN0_000065	scaffold_1:171529-171883	-	117	hypothetical protein													
FUN0_000066	scaffold_1:173124-173667	+	158	hypothetical protein		ENOG503P09Q											
FUN0_000067	scaffold_1:176743-179012	+	371	hypothetical protein		ENOG503PEEV											
FUN0_000068	scaffold_1:180017-180344	+	108	hypothetical protein													
FUN0_000069	scaffold_1:182838-183385	+	162	hypothetical protein		ENOG503Q0ZE											
FUN0_000070	scaffold_1:183923-184658	-	209	hypothetical protein													
FUN0_000071	scaffold_1:190651-190894	-	80	hypothetical protein													
FUN0_000072	scaffold_1:198093-200841	-	334	hypothetical protein		ENOG503NZ4C									GO:0005515 protein binding		
FUN0_000073	scaffold_1:202709-203064	+	104	hypothetical protein													
FUN0_000074	scaffold_1:204511-205255	-	247	hypothetical protein		ENOG50KOG0271									GO:0005515 protein binding		
FUN0_000075	scaffold_1:205991-206342	+	116	hypothetical protein													
FUN0_000076	scaffold_1:207994-209857	-	348	hypothetical protein		ENOG503Q320									GO:0005515 protein binding		
FUN0_000077	scaffold_1:209906-210631	-	200	hypothetical protein		ENOG503Q320											
FUN0_000078	scaffold_1:211323-211903	+	160	hypothetical protein													
FUN0_000079	scaffold_1:211979-212482	+	111	hypothetical protein													
FUN0_000080	scaffold_1:214805-218497	+	999	hypothetical protein		ENOG503BAPE									GO:0005515 protein binding		
FUN0_000081	scaffold_1:219590-221631	+	592	Serine/threonine-protein kinase smu1		ENOG5038BHC									GO:0005515 protein binding		
FUN0_000082	scaffold_1:222728-224668	+	527	hypothetical protein		ENOG50KOG0266									GO:0005515 protein binding; GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding		
FUN0_000083	scaffold_1:228941-229598	-	218	hypothetical protein		ENOG50COG4249									GO:0005515 protein binding		
FUN0_000084	scaffold_1:230823-232877	-	596	hypothetical protein		ENOG501G309									GO:0005515 protein binding		
FUN0_000085	scaffold_1:237182-239128	+	563	hypothetical protein		ENOG503BD5N									GO:0005515 protein binding		
FUN0_000086	scaffold_1:239333-239654	+	75	hypothetical protein													
FUN0_000087	scaffold_1:240276-242359	+	603	hypothetical protein		ENOG501G309									GO:0005515 protein binding		
FUN0_000088	scaffold_1:244367-244997	+	209	hypothetical protein											GO:0005515 protein binding		
FUN0_000089	scaffold_1:245237-245528	+	96	hypothetical protein													
FUN0_000090	scaffold_1:247334-248355	+	256	hypothetical protein													
FUN0_000091	scaffold_1:249983-250790	+	268	hypothetical protein		ENOG503NZ4C									GO:0005515 protein binding		
FUN0_000092	scaffold_1:250964-251629	+	187	hypothetical protein													
FUN0_000093	scaffold_1:253115-255221	+	614	Ski complex subunit Rec14		ENOG503NWRU									GO:0005515 protein binding		
FUN0_000093	scaffold_1:253115-255017	+	565	Ski complex subunit Rec14, variant 2		ENOG503NWRU									GO:0005515 protein binding		
FUN0_000094	scaffold_1:256581-258548	+	542	hypothetical protein		ENOG502GJN3									GO:0005515 protein binding		
FUN0_000095	scaffold_1:260466-262419	+	534	hypothetical protein		ENOG502UEFA									GO:0005515 protein binding		
FUN0_000096	scaffold_1:263621-265666	+	588	hypothetical protein		ENOG502GJN3									GO:0005515 protein binding		
FUN0_000097	scaffold_1:266877-268841	+	557	U3 snoRNP protein		ENOG503NVZP									GO:0005515 protein binding		
FUN0_000098	scaffold_1:271114-271504	-	114	hypothetical protein													
FUN0_000099	scaffold_1:271704-272049	+	114	hypothetical protein		ENOG50KOG0279									GO:0005515 protein binding		
FUN0_000100	scaffold_1:272670-273642	+	206	hypothetical protein													
FUN0_000101	scaffold_1:274545-276033	+	495	hypothetical protein		ENOG503P1XE											
FUN0_000102	scaffold_1:276681-278257	-	315	hypothetical protein		ENOG503PHXK											
FUN0_000103	scaffold_1:279685-283279	-	696	hypothetical protein		ENOG503Q320									GO:0005515 protein binding		
FUN0_000104	scaffold_1:285630-289008	+	1125	hypothetical protein		ENOG503NY6D									GO:0005515 protein binding		
FUN0_000105	scaffold_1:291098-291557	-	152	hypothetical protein		ENOG503Q320											
FUN0_000106	scaffold_1:294121-294941	+	195	hypothetical protein													
FUN0_000107	scaffold_1:296526-298497	+	571	WD repeat-containing protein 1		ENOG503BHXR									GO:0005515 protein binding		
FUN0_000108	scaffold_1:299474-300260	+	190	hypothetical protein													
FUN0_000109	scaffold_1:304013-305112	-	308	hypothetical protein		ENOG503Q0KP									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_000110	scaffold_1:305945-308139	+	672	SET and MYND domain-containing protein 3		ENOG503BC94											
FUN0_000111	scaffold_1:310851-311852	-	192	Protein required for ethanol metabolism		ENOG503P1Y0									GO:0016021 membrane		
FUN0_000112	scaffold_1:314514-315542	+	238	hypothetical protein		ENOG503P1GZ									GO:0016021 membrane		
FUN0_000113	scaffold_1:317969-318452	-	106	hypothetical protein		ENOG503PADQ											
FUN0_000114	scaffold_1:321210-321872	-	144	hypothetical protein		ENOG503PJNF											
FUN0_000115	scaffold_1:322017-323256	+	358	hypothetical protein		ENOG503P5MD											
FUN0_000116	scaffold_1:323537-324065	+	175	hypothetical protein													
FUN0_000117	scaffold_1:326982-328674	+	527	hypothetical protein		ENOG503Q4J3											
FUN0_000118	scaffold_1:329313-329830	-	138	hypothetical protein													
FUN0_000119	scaffold_1:330812-332476	+	520	hypothetical protein		ENOG503Q4J3											
FUN0_000120	scaffold_1:335475-335742	-	69	hypothetical protein		ENOG503P09Q											
FUN0_000121	scaffold_1:336526-338170	+	511	hypothetical protein		ENOG503Q4J3											
FUN0_000122	scaffold_1:342780-343855	+	339	hypothetical protein		ENOG503NZ4C											
FUN0_000123	scaffold_1:347395-347841	-	127	hypothetical protein		ENOG503Q4S8											
FUN0_000124	scaffold_1:348585-348756	-	56	hypothetical protein													
FUN0_000125	scaffold_1:352053-353745	+	527	hypothetical protein		ENOG503Q4J3											
FUN0_000126	scaffold_1:356739-357285	-	159	hypothetical protein		ENOG503Q4S8											
FUN0_000127	scaffold_1:358005-359573	+	504	hypothetical protein		ENOG503NZ4C											
FUN0_000128	scaffold_1:363055-364719	+	517	hypothetical protein		ENOG503Q4J3											
FUN0_000129	scaffold_1:365622-366754	-	308	hypothetical protein		ENOG503P8B5											
FUN0_000130	scaffold_1:368025-368807	+	243	hypothetical protein		ENOG503NZ4C											
FUN0_000131	scaffold_1:368929-369493	+	187	hypothetical protein		ENOG503Q3UV											
FUN0_000132	scaffold_1:370580-370982	+	133	hypothetical protein		ENOG503NZ4C											
FUN0_000133	scaffold_1:371854-372082	+	56	hypothetical protein													
FUN0_000134	scaffold_1:373247-373634	+	128	hypothetical protein													
FUN0_000135	scaffold_1:374647-375113	+	137	hypothetical protein		ENOG503PBF9									GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
FUN0_000136	scaffold_1:375388-375810	+	120	hypothetical protein													
FUN0_000137	scaffold_1:375854-377474	+	455	hypothetical protein													
FUN0_000138	scaffold_1:377724-377933	+	53	hypothetical protein													
FUN0_000139	scaffold_1:377963-378392	+	142	hypothetical protein		ENOG503PDJB											
FUN0_000140	scaffold_1:379044-379487	+	132	hypothetical protein		ENOG503NZ4C											
FUN0_000141	scaffold_1:381270-382200	+	309	hypothetical protein													
FUN0_000142	scaffold_1:382404-382853	+	131	hypothetical protein		ENOG503PBF9									GO:0005524 ATP binding		
FUN0_000143	scaffold_1:384013-384515	-	112	hypothetical protein													
FUN0_000144	scaffold_1:386869-388280	-	314	hypothetical protein		ENOG503Q5CX									GO:0005525 GTP binding		
FUN0_000144	scaffold_1:387023-388280	-	310	hypothetical protein		ENOG503Q5CX									GO:0005525 GTP binding		
FUN0_000145	scaffold_1:388834-394611	+	1626	hypothetical protein		ENOG503PBF9									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0007166 cell surface receptor signaling pathway; GO:0006468 protein phosphorylation		
FUN0_000145	scaffold_1:390396-394611	+	1175	hypothetical protein		ENOG503PBF9									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0007166 cell surface receptor signaling pathway; GO:0006468 protein phosphorylation		
FUN0_000146	scaffold_1:396110-397544	+	297	hypothetical protein		ENOG503Q67N									GO:0016021 membrane		
FUN0_000147	scaffold_1:399059-399354	-	76	hypothetical protein													
FUN0_000148	scaffold_1:401235-401487	+	83	cytosolic leucyl tRNA synthetase		ENOG503NUN2									GO:0005524 ATP binding; GO:0140662 ATP-dependent protein folding chaperone		
FUN0_000149	scaffold_1:403474-404905	+	296	hypothetical protein		ENOG503Q67N									GO:0016021 membrane		
FUN0_000149	scaffold_1:403718-404905	+	253	hypothetical protein		ENOG503Q67N									GO:0016021 membrane		
FUN0_000150	scaffold_1:405945-406332	+	108	hypothetical protein		ENOG503PJHH											
FUN0_000151	scaffold_1:406872-407286	+	137	hypothetical protein													
FUN0_000152	scaffold_1:408413-410507	-	588	hypothetical protein		ENOG503P3MQ									GO:0016491 oxidoreductase activity		
FUN0_000153	scaffold_1:410910-411546	-	159	hypothetical protein		ENOG503P6YN									GO:0016021 membrane; GO:0005375 copper ion transmembrane transporter activity; GO:0035434 copper ion transmembrane transport		
FUN0_000154	scaffold_1:412593-413492	-	261	hypothetical protein		ENOG503P24Y									GO:0061617 MICOS complex; GO:0042407 cristae formation		
FUN0_000155	scaffold_1:413794-415007	-	387	hypothetical protein													
FUN0_000156	scaffold_1:415238-415709	-	156	hypothetical protein		ENOG503P8GP									GO:0005762 mitochondrial large ribosomal subunit; GO:0003735 structural constituent of ribosome; GO:0032543 mitochondrial translation		
FUN0_000157	scaffold_1:415888-416285	+	95	hypothetical protein		ENOG503P54E									GO:0006486 protein glycosylation		
FUN0_13024	scaffold_1:417303-418466	+	248	hypothetical protein		ENOG503PFKH											
FUN0_13024	scaffold_1:417697-418466	+	198	hypothetical protein		ENOG503PFKH											
FUN0_000158	scaffold_1:421857-422067	+	69	hypothetical protein													
FUN0_000159	scaffold_1:426582-427750	-	351	hypothetical protein		ENOG503P8KS											
FUN0_000160	scaffold_1:429381-430397	-	320	hypothetical protein													
FUN0_000161	scaffold_1:432341-432914	-	172	hypothetical protein													
FUN0_000162	scaffold_1:435275-436288	+	267	hypothetical protein		ENOG503PCCF											
FUN0_000163	scaffold_1:436849-437172	-	86	hypothetical protein		ENOG503PDPS											
FUN0_000164	scaffold_1:438130-440865	+	873	hypothetical protein		ENOG503PJHH											
FUN0_000165	scaffold_1:441397-441571	-	57	hypothetical protein		ENOG503P3MQ											
FUN0_000166	scaffold_1:441665-442182	-	154	hypothetical protein		ENOG503P3MQ											
FUN0_000167	scaffold_1:442590-443093	-	94	hypothetical protein													
FUN0_000168	scaffold_1:444772-445155	+	89	hypothetical protein		ENOG503Q662									GO:0016021 membrane		
FUN0_000169	scaffold_1:446378-447964	+	491	hypothetical protein		ENOG503PJHH											
FUN0_000170	scaffold_1:450574-453546	-	954	hypothetical protein		ENOG503PJHH											
FUN0_000171	scaffold_1:455584-455872	-	76	hypothetical protein		ENOG503Q662									GO:0016021 membrane		
FUN0_000172	scaffold_1:456552-457231	-	128	hypothetical protein													
FUN0_000173	scaffold_1:458153-458640	+	143	hypothetical protein		ENOG503P3MQ									GO:0016491 oxidoreductase activity		
FUN0_000174	scaffold_1:459153-460425	-	423	hypothetical protein													
FUN0_000175	scaffold_1:460890-461512	-	148	hypothetical protein		ENOG503P3UC											
FUN0_000176	scaffold_1:461966-462504	+	124	hypothetical protein		ENOG503P5TX											
FUN0_000176	scaffold_1:461966-462394	+	90	hypothetical protein		ENOG503P5TX											
FUN0_000177	scaffold_1:465512-466191	+	158	hypothetical protein													
FUN0_000177	scaffold_1:465512-466042	+	144	hypothetical protein													
FUN0_000178	scaffold_1:466931-468240	+	346	hypothetical protein		ENOG503PCCF											
FUN0_000178	scaffold_1:466931-468020	+	270	hypothetical protein		ENOG503PCCF											
FUN0_000178	scaffold_1:466991-468240	+	326	hypothetical protein		ENOG503PCCF											
FUN0_000178	scaffold_1:467225-468240	+	248	hypothetical protein		ENOG503PCCF											
FUN0_000179	scaffold_1:469993-473089	+	1031	hypothetical protein		ENOG503NY6D									GO:0005515 protein binding		
FUN0_000180	scaffold_1:474643-475949	+	345	hypothetical protein		ENOG503PCCF											
FUN0_000181	scaffold_1:476292-476628	-	111	hypothetical protein		ENOG503PE6Y											
FUN0_000182	scaffold_1:476766-477889	-	319	hypothetical protein		ENOG503PE6Y									GO:0005515 protein binding		
FUN0_000183	scaffold_1:479039-479448	-	94	hypothetical protein		ENOG503NUKV									GO:0016021 membrane; GO:0005524 ATP binding; GO:0140359 ABC-type transporter activity; GO:0055085 transmembrane transport		
FUN0_000184	scaffold_1:480958-482035	+	358	hypothetical protein											GO:0005515 protein binding		
FUN0_000185	scaffold_1:482275-483652	+	458	hypothetical protein		ENOG503NY6D											
FUN0_000186	scaffold_1:484226-490646	-	1655	hypothetical protein		ENOG503NUKV									GO:0016021 membrane; GO:0005524 ATP binding; GO:0140359 ABC-type transporter activity; GO:0055085 transmembrane transport		
FUN0_000187	scaffold_1:494882-496420	+	263	hypothetical protein		ENOG503PD5X											
FUN0_000188	scaffold_1:499075-499496	+	98	hypothetical protein													
FUN0_000189	scaffold_1:499637-499961	+	107	hypothetical protein													
FUN0_000190	scaffold_1:500480-500883	+	93	hypothetical protein													
FUN0_000191	scaffold_1:506257-508844	-	596	hypothetical protein		ENOG503NTXC									GO:0004497 monooxygenase activity; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		
FUN0_000192	scaffold_1:509298-511805	+	588	hypothetical protein		ENOG503NTXC									GO:0004497 monooxygenase activity; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		
FUN0_000193	scaffold_1:513302-515819	+	588	hypothetical protein		ENOG503NTXC									GO:0004497 monooxygenase activity; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		
FUN0_000194	scaffold_1:517154-519672	+	588	hypothetical protein		ENOG503NTXC									GO:0004497 monooxygenase activity; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		
FUN0_000194	scaffold_1:517154-519378	+	525	hypothetical protein		ENOG503NTXC									GO:0004497 monooxygenase activity; GO:0020037 heme binding; GO:0005506 iron ion binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		
FUN0_000195	scaffold_1:520239-521011	-	186	hypothetical protein		ENOG503PDTI											
FUN0_000196	scaffold_1:521864-522539	-	224	hypothetical protein													
FUN0_000197	scaffold_1:528992-529757	-	254	hypothetical protein													
FUN0_000198	scaffold_1:532492-533563	-	356	hypothetical protein													
FUN0_000199	scaffold_1:534910-536065	-	384	hypothetical protein													
FUN0_000200	scaffold_1:536323-537178	-	284	hypothetical protein													
FUN0_000201	scaffold_1:537604-538010	-	117	hypothetical protein													
FUN0_000202	scaffold_1:538352-539665	+	324	hypothetical protein		ENOG503P30N											
FUN0_000203	scaffold_1:540477-540846	+	64	hypothetical protein		ENOG503PB78											
FUN0_000204	scaffold_1:541556-542619	+	199	hypothetical protein		ENOG503PB78											
FUN0_000204	scaffold_1:541708-542619	+	182	hypothetical protein		ENOG503PB78											
FUN0_000205	scaffold_1:545681-547970	+	384	hypothetical protein		ENOG503PB78											
FUN0_000205	scaffold_1:545681-547937	+	393	hypothetical protein		ENOG503PB78											
FUN0_000205	scaffold_1:545818-547970	+	321	hypothetical protein		ENOG503PB78											
FUN0_000206	scaffold_1:548892-550384	-	420	hypothetical protein		ENOG503Q5CB									GO:0005515 protein binding		
FUN0_000207	scaffold_1:553740-554931	+	326	hypothetical protein		ENOG503PB03											
FUN0_000208	scaffold_1:557909-560005	-	505	hypothetical protein		ENOG503PG0D											
FUN0_000209	scaffold_1:560250-564247	-	967	hypothetical protein		ENOG503NZA6									GO:0005524 ATP binding; GO:0140658 ATP-dependent chromatin remodeler activity		
FUN0_000210	scaffold_1:567650-570258	+	830	hypothetical protein		ENOG503PJHH											
FUN0_000211	scaffold_1:571613-572197	-	156	hypothetical protein		ENOG503NWQ6									GO:0072546 EMC complex		
FUN0_000212	scaffold_1:572380-573221	-	183	hypothetical protein		ENOG503NWQ6									GO:0072546 EMC complex		
FUN0_000213	scaffold_1:575063-575717	+	184	hypothetical protein		ENOG503NWQ6									GO:0072546 EMC complex		
FUN0_000214	scaffold_1:576076-576675	-	146	hypothetical protein													
FUN0_000214	scaffold_1:576076-576447	-	105	hypothetical protein													
FUN0_000215	scaffold_1:577700-578284	-	156	hypothetical protein		ENOG503NWQ6									GO:0072546 EMC complex		
FUN0_000216	scaffold_1:578818-579302	-	130	hypothetical protein		ENOG503NWQ6											
FUN0_000217	scaffold_1:579434-579919	-	121	hypothetical protein		ENOG503NWQ6											
FUN0_000218	scaffold_1:580255-581052	-	229	hypothetical protein		ENOG503NWQ6									GO:0005515 protein binding		
FUN0_000219	scaffold_1:583934-586623	+	857	hypothetical protein		ENOG503PJHH											
FUN0_000220	scaffold_1:587062-590485	-	1050	hypothetical protein		ENOG503Q4J3									GO:0005515 protein binding		
FUN0_000221	scaffold_1:591368-591633	+	67	hypothetical protein													
FUN0_000222	scaffold_1:592205-592394	+	62	hypothetical protein		ENOG503NWQ6											
FUN0_000223	scaffold_1:593028-593423	-	113	hypothetical protein													
FUN0_000224	scaffold_1:595861-599511	-	1009	hypothetical protein		ENOG503NWQ6									GO:0072546 EMC complex; GO:0005515 protein binding		
FUN0_000225	scaffold_1:599778-601068	+	309	sporulation-induced protein		ENOG503NU6Q									GO:0016787 hydrolase activity		
FUN0_000226	scaffold_1:601891-603681	+	540	hypothetical protein		ENOG503PBCX									GO:0005515 protein binding		
FUN0_000227	scaffold_1:604342-604862	-	111	hypothetical protein													
FUN0_000228	scaffold_1:605932-607994	+	505	mtDNA inheritance, partitioning of the mitochondrial organelle		ENOG503NW2U											
FUN0_000229	scaffold_1:609855-611422	+	486	hypothetical protein		ENOG503PBCX											
FUN0_000230	scaffold_1:611589-612861	-	344	hypothetical protein													
FUN0_000231	scaffold_1:614309-614923	-	121	hypothetical protein		ENOG503PDHA											
FUN0_000232	scaffold_1:617840-619308	+	471	hypothetical protein											GO:0005515 protein binding		
FUN0_000233	scaffold_1:620122-620812	-	110	hypothetical protein		ENOG503P0C6											
FUN0_000234	scaffold_1:621279-622815	-	305	hypothetical protein		ENOG503P0C6									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_000235	scaffold_1:624592-625736	-	238	hypothetical protein		ENOG503P0C6											
FUN0_000236	scaffold_1:625781-627094	-	250	hypothetical protein		ENOG503P0C6									GO:0022857 transmembrane transporter activity; GO:0055085 transmembrane transport		
FUN0_000237	scaffold_1:632117-633122	+	240	hypothetical protein		ENOG503NVNJ											
FUN0_000238	scaffold_1:634348-635898	+	404	hypothetical protein		ENOG503Q5BA									GO:0016491 oxidoreductase activity		
FUN0_000239	scaffold_1:635940-637258	+	245	hypothetical protein		ENOG503NVNJ									GO:0016491 oxidoreductase activity		
FUN0_000240	scaffold_1:637799-641458	-	974	hypothetical protein		ENOG503Q4J3											
FUN0_000241	scaffold_1:641770-642793	+	286	hypothetical protein		ENOG503NVNJ									GO:0016491 oxidoreductase activity		
FUN0_000242	scaffold_1:642850-643444	+	177	hypothetical protein		ENOG503NVNJ									GO:0016491 oxidoreductase activity		
FUN0_000243	scaffold_1:644387-645422	+	294	hypothetical protein		ENOG503NVNJ									GO:0016491 oxidoreductase activity		
FUN0_000244	scaffold_1:645464-646049	+	175	hypothetical protein		ENOG503NVNJ									GO:0016491 oxidoreductase activity		
FUN0_000245	scaffold_1:647622-649304	+	490	hypothetical protein		ENOG503NVNJ									GO:0016491 oxidoreductase activity		
FUN0_000246	scaffold_1:649950-650395	+	93	mitochondrial ribosomal small subunit component		ENOG503P54F									GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0003723 RNA binding; GO:0006412 translation		
FUN0_000247	scaffold_1:650842-653794	+	846	hypothetical protein		ENOG503NVDQ									GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0004674 protein serine/threonine kinase activity; GO:0006468 protein phosphorylation		
